Country,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 Nigeria,9867.7239,10218.666,10224.0635,9803.4128,9624.4126,9554.3045,9512.1447,9092.6905,9172.6918,9212.8895
 North Africa,13607.3,13483.2,13660,13798.5,14186.7,14429.3,14502,13854.8,14236.1,14522.1
 North America,63418.8,64234.6,65815.6,66057,67106.2,68390.1,69276.2,66629.6,70227.5,71110.1
 North America & Oceania,65505.1,66289.4,67699.8,67879.8,68930.3,70213.7,70999.3,68304.5,71608.9,72624.2
 North Korea,2714.5008,2711.0408,2649.8321,2722.6476,2601.7278,2471.1195,2458.989,2329.534,2311.9487,2293.6573
 North Macedonia,15720.9836,16178.7529,16694.0503,17068.6627,17161.4363,17568.0909,18174.4048,17026.5205,17973.4753,18387.6857
 Norway,69617.4785,70044.9408,70431.3971,70457.2146,71460.5627,71367.3092,71428.7667,69827.0806,70119.6649,71790.6909
 Oceania,76155.8,76321.5,75552.7,74893.4,75450.2,76195.3,75647.2,72654.4,72384.2,74208.1
 Oceania (excl. Australia and New Zealand),153120.5,151480.6,149421.3,146906.8,147120.8,147834.5,144654,135025.1,131062.5,133152.5
 Oman,43550.8728,41741.9245,41811.1522,41629.555,40451.013,40792.8036,40971.0564,41146.9682,43481.3107,45077.5596
 Other East Asia,35730.7,36541.1,36855.6,37373,38214.4,38938.6,39353.4,38581.6,40395.5,40870
 Other Latin America,14167.1,14240.9,14216.4,14015.3,13928.4,13894.8,13721.5,12375.6,13272.7,13688.4
 Other MENA,26185.2,26288.7,26400.5,27026.4,26890.3,26777.8,26287.4,24763.1,25573.7,26616.1
 Other North America & Oceania,151950.3,150349.5,148340.6,145895.3,146148.5,146869.6,143760,134227.7,130348.8,132447
 Other Russia & Central Asia,13290.1,12971.5,12496.1,12547.7,12874.9,13291.4,13735.8,13266.3,13816.4,13085.6
 Other South & South-East Asia,10307.1,10577.6,10891.3,11272.5,11683.8,12104.2,12405.6,11779,11990.2,12375.7
 Other Sub-Saharan Africa,5933.1,6093.3,6113.7,6035.4,6025.1,6028,6039.3,5800.4,5857.9,5901.2
 Other Western Europe,51910.6,52569.8,53861.2,54566.6,55870.6,57073.4,57959.1,55578.3,59205,61579.1
 Pakistan,7253.7523,7421.3142,7611.1702,7993.0574,8207.7865,8536.6013,8560.2424,8250.611,8563.0924,8724.0731
 Palau,18956.7986,20034.462,21018.9981,20745.5341,20135.8089,20337.5985,19959.0067,18101.8847,16082.509,15698.4101
 Palestine,10530.1985,10157.7474,10186.4238,10726.5922,10556.7042,10398.1269,10259.4288,8844.5716,9192.2307,9273.1189
 Panama,36221.7848,37229.8696,38507.2137,39530.2746,40826.8069,41414.6223,41868.4321,33798.7623,38454.797,41857.1999
 Papua New Guinea,5414.8506,5952.5973,6146.8978,6287.2226,6315.5455,6113.9543,6204.5638,5840.8955,5640.4444,5778.0689
 Paraguay,17895.4793,18389.3314,18487.1256,18833.3186,19299.681,19492.2969,19017.0171,18485.8407,18882.0928,18603.9547
 Peru,16003.884,16110.1705,16348.0019,16685.3767,16762.9774,16989.3717,16926.412,14785.7432,16487.3702,16694.2432
 Philippines,10009.6272,10394.5055,10789.2048,11272.7949,11757.4187,12206.0631,12651.5175,11181.7294,11574.1655,12203.5193
 Poland,27156.488,28125.0414,29307.443,30140.9842,31668.7332,33561.1169,35083.9123,34443.4213,36969.5507,37467.3004
 Portugal,32154.8032,32513.5482,33171.0628,33888.4298,35095.7988,36085.2662,36969.6542,33783.9648,35659.1721,38066.9049
 Puerto Rico,38702.3573,38451.7885,38260.5374,37740.5407,36669.3572,36313.5318,35845.5187,35173.6817,35827.5461,36874.7124
 Qatar,115631.1551,111485.6866,106069.3282,101216.0425,95337.675,94649.8527,94632.8051,93469.4845,97807.335,102171.3675
 Romania,24127.7739,25188.6808,26094.7966,26998.601,29379.4922,31313.7421,32662.256,31600.3487,33624.4995,34621.1717
 Russia & Central Asia,21729.6,21927.9,21118.4,20605.7,20984.2,21595.8,22143.4,21525.8,22702.3,22181.7
 Russian Federation,28911.2676,29615.4789,28464.7512,27534.8499,27988.8958,28816.6229,29496.2741,28788.296,30570.4441,30070.2701
 Rwanda,2996.6325,3091.4374,3268.9674,3362.6441,3392.0079,3575.9913,3802.6203,3565.2485,3832.7146,4019.5398
 Saint Kitts and Nevis,32125.7547,34301.7531,34303.4093,35394.4872,35133.4914,35593.2279,36780.0666,31235.7956,30800.9017,33357.6923
 Saint Lucia,17812.1286,17741.7438,17463.4519,17777.9599,18117.8826,18398.9631,18057.5578,13498.1454,15005.5245,17264.8283
 Saint Vincent and the Grenadines,15560.9862,15665.6471,16022.6101,16629.183,16824.5533,17283.7785,17345.8016,16650.4775,16757.4391,17592.6211
 Samoa,9519.5112,9442.5029,9665.1285,10283.1911,10274.7501,10067.5927,10366.5613,9873.0343,8991.056,8369.4175
 San Marino,60967.2287,60412.5346,61438.9522,62282.6644,61858.7924,62371.5767,63359.5859,59215.8255,64455.0749,67562.4442
 Sao Tome and Principe,5589.2109,5752.4999,5731.7804,5916.8673,6046.5764,6193.4956,6196.2905,6207.8523,6158.1003,6001.7628
 Saudi Arabia,71261.003,72089.4452,73237.603,72528.1074,70267.5065,70225.6704,68917.6988,65580.5898,68532.3225,73286.5732
 Senegal,5217.0314,5385.5564,5563.5457,5742.5856,5982.0218,6159.6334,6244.7003,6129.9544,6327.4794,6389.8138
 Serbia,15546.2695,15320.9069,15623.3026,16172.3484,16551.6706,17376.532,18241.0166,18200.9342,19777.0797,20488.9852
 Seychelles,28937.3739,29503.2377,30161.4406,31137.3768,31496.6436,32220.061,33340.0748,30388.5854,31739.7178,34398.1913
 Sierra Leone,3506.8527,3555.9787,2742.3309,2826.6919,2841.4043,2849.0667,2905.5862,2760.404,2786.0499,2795.2059
 Singapore,91066.695,92088.5285,92858.1441,94465.6147,97139.4081,99060.8129,98947.917,93922.7108,101258.8546,104005.8212
 Sint Maarten (Dutch part),63936.3028,61570.1784,58638.6025,56250.8463,49944.7323,44965.1795,48103.2296,40302.3142,40945.7477,43925.7785
 Slovakia,29757.9951,30435.9237,31921.1726,32475.3523,33372.8269,34678.8171,35518.9447,34329.4858,36063.151,35490.5992
 Slovenia,34179.1682,35102.2683,35809.3747,36829.7378,38476.3747,40067.2442,41352.5324,39505.013,42721.2918,43776.0748
 Solomon Islands,4541.1784,4468.2813,4416.1795,4530.6571,4539.746,4534.5935,4484.831,4210.5961,4067.6151,3796.9663
 Somalia,2295.552,2506.9161,2841.3743,3063.5393,3218.1739,3234.3252,3079.8224,2814.2242,2781.421,2675.6943
 South & South-East Asia,9015.7,9348.5,9707.2,10150.8,10558.9,10971.7,11231.5,10565.9,11027.1,11524.8
 South Africa,20380.4,20127.1,19958.2,19748.3,19620.7,19600.8,19392.8,17978.5,18692.3,18949.4
 South Africa,21130.8567,20801.3066,20657.8841,20397.6968,20267.4762,20241.3897,20023.7489,18606.8304,19310.0216,19540.621
 South America,19801.2,19629.2,19080.3,18408,18331.9,18258.2,18078.6,16811.3,17821.4,18293.8
 South Asia,7557.6,7898.3,8230.8,8704.2,9051.9,9360.8,9480.7,8935,9470.2,9897.9
